,Dnaja3,Camk2n1,Fau,Terf2,Dis3l2,Tmem147,Abhd14a,Sh3bgrl2,Psma3l,Uqcr11,Tmem126a,Irf4,Hyou1,Mgst3,LOC100909510,Rbm22,Dbnl,Mad2l1,Ppm1b,Nme7,Trappc6a,Nabp2,Invs,Hist1h4m,Fuca2,Hypk,Crh,Rnh1,Hnrnpa3,Klc1,Usp9x,Lcn2,Spsb2,LOC498154,Zmynd11,Gps1,Paqr7,Tmsb4x,Sept7,Rps27a,Add3,Spint2,Twsg1,Rab3il1,Mrps21,Trappc2b,Nsun5,Ost4,Maged2,Sprn,Erp44,Mcam,Hap1,Plcd1,Pomp,Lrrc46,Nmi,Ndufs8,Rpp40,Esd,Mgarp,RGD735065,Cox20,Cpt2,Thumpd3,Hspa1b,Edf1,Sf3b6,Tmem59l,Nat2,Rassf1,Myl6,Cenpk,Rarg,Plod2,Ndufb4,Cdk10,Shank2,Mrpl4,Ndufa2,Mis18bp1,Ifit3,Hras,Cox5b,Diaph3,Uck2,Gemin8,Mfsd10,Ddah2,Chmp1b,Syn2,Gnpda2,Arsk,Eif2b2,Carm1,Cln3,Tmem170a,Tmem50a
human,38,2,4,13,26,0,0,6,39,2,2,18,106,5,2,2,14,9,31,39,6,7,15,18,18,1,11,47,68,5,13,37,6,0,5,13,10,15,62,68,14,29,4,6,3,6,12,1,35,7,7,19,10,51,4,12,1,11,1,10,4,2,4,37,1,111,9,31,3,33,18,87,2,180,13,3,191,8,17,3,3,21,178,10,19,16,0,4,13,15,6,35,4,2,46,15,3,1
kinase,8,8,1,6,3,0,0,0,10,0,0,6,41,0,0,0,22,5,91,91,0,2,8,3,1,0,1,12,18,6,3,1,8,0,3,7,2,1,22,20,9,1,0,2,0,0,2,0,3,0,0,4,7,50,0,9,0,0,0,1,0,0,0,7,0,41,2,8,0,1,11,64,1,56,1,1,571,6,2,0,0,2,121,2,8,23,0,0,4,0,18,7,1,1,10,1,0,0
mutation,17,0,0,0,22,0,0,2,7,0,5,19,44,1,1,4,1,6,51,26,5,2,19,6,9,0,0,33,56,8,7,2,6,0,1,6,2,1,30,26,10,7,2,1,1,7,4,2,6,4,2,7,7,31,1,13,0,6,1,3,1,0,4,33,0,58,2,5,0,7,4,98,0,112,18,1,102,20,17,0,1,1,174,3,10,4,0,0,0,7,5,12,0,10,21,20,0,1
growth,54,2,2,3,19,1,0,1,21,0,0,8,69,1,1,3,14,9,78,29,1,1,2,9,13,1,0,13,40,6,6,2,5,0,3,3,3,7,40,34,13,19,2,1,2,4,9,4,19,0,3,10,13,25,0,3,0,24,0,10,0,0,0,12,1,94,10,10,0,1,11,57,0,111,5,1,134,2,18,1,0,9,173,5,6,5,0,0,2,4,4,38,1,7,27,7,0,0
stress,61,0,0,3,7,0,0,1,25,0,0,0,177,5,0,1,7,2,100,20,0,0,1,2,3,0,14,6,28,1,2,0,2,0,0,0,3,1,12,31,3,1,0,0,0,0,4,0,5,1,7,3,1,17,1,0,1,8,0,4,1,1,0,16,0,175,17,7,1,2,2,35,0,31,0,1,39,1,14,2,0,3,46,7,4,0,0,0,6,0,1,9,0,6,9,1,0,1
phosphorylation,5,4,2,2,1,0,0,1,7,0,2,10,23,1,0,0,21,3,51,14,0,2,3,8,2,0,0,4,16,4,5,3,2,0,0,6,0,2,16,11,15,4,1,2,2,0,1,0,1,0,0,4,3,21,0,8,0,0,0,2,0,0,0,3,0,26,3,8,0,0,6,67,0,61,0,0,284,2,2,0,0,5,49,4,2,10,0,0,3,1,17,3,0,6,16,0,1,0
plant,18,0,2,0,6,1,0,0,14,0,0,0,66,2,0,1,0,4,141,21,1,0,0,3,3,0,0,0,27,0,0,0,1,0,1,11,4,0,8,46,0,1,0,0,3,0,4,0,0,0,3,0,0,19,0,0,0,7,0,1,0,0,0,4,0,79,14,10,0,0,0,58,0,4,0,0,70,0,6,1,0,0,43,9,1,2,0,0,0,3,0,2,0,5,11,0,0,1
cancer,3,1,4,2,8,0,0,2,14,0,0,5,22,1,0,0,7,3,16,14,1,0,3,0,3,0,0,1,25,1,8,3,0,0,2,2,3,14,16,11,0,10,0,0,0,0,4,0,43,0,1,14,4,9,0,2,0,0,0,0,0,0,0,5,0,16,0,3,0,20,24,6,1,56,9,0,62,1,0,0,0,5,79,4,10,4,0,0,1,0,0,2,2,0,14,1,1,0
membrane,18,0,0,0,6,1,0,0,9,0,3,2,57,4,0,2,12,1,27,19,4,0,5,0,2,0,0,1,3,9,1,2,0,0,4,1,17,2,57,18,16,4,0,7,1,4,1,5,3,4,2,7,5,47,1,2,0,20,0,1,2,2,2,19,0,70,0,1,3,2,4,35,0,14,2,2,24,18,8,2,0,0,216,6,9,1,0,3,0,22,6,9,0,2,11,15,1,3
patient,5,0,4,0,9,0,0,1,9,1,3,20,35,2,0,0,9,3,14,8,2,1,13,2,3,0,1,20,37,6,8,5,0,0,3,0,1,8,13,13,5,6,0,0,1,1,0,0,31,1,0,13,5,21,1,4,1,5,0,2,0,0,3,30,0,32,1,0,0,6,10,31,0,75,18,1,22,10,5,0,0,9,62,5,11,0,0,0,5,0,9,4,1,5,10,5,1,0
disease,21,0,0,1,12,0,0,4,16,0,2,16,57,2,0,0,12,1,20,17,2,1,21,9,10,2,0,36,55,7,6,6,0,0,2,1,1,3,24,23,4,10,0,1,0,3,4,0,9,13,3,11,28,25,0,8,1,11,0,5,2,0,0,36,0,64,2,1,4,10,3,52,0,106,5,2,53,8,7,3,0,12,86,6,7,4,1,1,12,0,9,17,2,6,8,27,2,1
